nama_desa_kelurahan,total_migrasi_masuk,total_migrasi_keluar
BEKASIJAYA,5989,7336
MARGAHAYU,4237,7343
DURENJAYA,5285,7284
ARENJAYA,4300,6458
BINTARA,4491,6112
KRANJI,3208,5157
KOTABARU,2702,4175
BINTARAJAYA,2468,3256
JAKASAMPURNA,4328,7224
KALIABANG TENGAH,6098,8826
PERWIRA,2908,3206
HARAPANBARU,2427,2272
TELUK PUCUNG,4702,5803
MARGAMULYA,1754,2388
HARAPANJAYA,5551,7571
PEKAYONJAYA,4375,5342
MARGAJAYA,1316,2127
JAKAMULYA,2645,2749
JAKASETIA,3501,3689
KAYURINGINJAYA,4043,6369
BOJONG RAWALUMBU,5817,8223
PENGASINAN,4507,5340
SEPANJANGJAYA,2944,4106
BOJONGMENTENG,3452,5229
MEDANSATRIA,1631,3191
HARAPANMULYA,2022,2456
PEJUANG,5560,6714
KALIBARU,1805,2996
BANTARGEBANG,3211,3397
CIKIWUL,2488,2923
CIKETINGUDIK,2802,1802
SUMURBATU,3190,1116
JATIWARINGIN,3474,4770
JATIBENING,2841,3741
JATIMAKMUR,4471,5308
JATIBENING BARU,2599,3659
JATICEMPAKA,3113,4549
JATIMEKAR,2767,2832
JATIASIH,3113,3492
JATIKRAMAT,3484,3899
JATIRASA,2991,3406
JATILUHUR,3509,1980
JATISARI,4098,2593
JATISAMPURNA,2689,2657
JATIKARYA,1727,1017
JATIRANGGON,2416,2187
JATIRANGGA,1963,1113
JATIRADEN,2101,1530
PADURENAN,6592,3809
CIMUNING,4467,2964
MUSTIKAJAYA,7211,6223
MUSTIKASARI,4372,3341
JATIRAHAYU,3482,4763
JATIWARNA,1796,1942
JATIMELATI,1706,1389
JATIMURNI,2136,1875
